branch,node1,node2,t,N,S,dN/dS,dN,dS,N*dN,S*dS,
90É91,90,91,0.121,927.3,275.7,999,0.0523,0.0001,48.5,0,
91É92,91,92,0.024,927.3,275.7,999,0.0104,0,9.7,0,
92É93,92,93,0,927.3,275.7,0.0562,0,0,0,0,
93É94,93,94,0.344,927.3,275.7,0.0562,0.0236,0.4207,21.9,116,
94É95,94,95,0.259,927.3,275.7,0.0562,0.0178,0.3164,16.5,87.3,
95É96,95,96,0.115,927.3,275.7,0.0562,0.0079,0.1412,7.4,38.9,
96É36,96,36,0.255,927.3,275.7,0.0562,0.0175,0.3117,16.2,85.9,
96É38,96,38,0.259,927.3,275.7,0.0562,0.0178,0.3167,16.5,87.3,
95É37,95,37,0.267,927.3,275.7,0.0562,0.0183,0.3264,17,90,
94É39,94,39,0.327,927.3,275.7,0.0562,0.0224,0.3995,20.8,110.2,
93É97,93,97,0.101,927.3,275.7,0.0562,0.0069,0.1238,6.4,34.1,
97É98,97,98,0.131,927.3,275.7,0.0562,0.009,0.1604,8.4,44.2,
98É99,98,99,0.586,927.3,275.7,0.0562,0.0402,0.7165,37.3,197.6,
99É20,99,20,0.005,927.3,275.7,0.0562,0.0003,0.0056,0.3,1.5,
99É19,99,19,0,927.3,275.7,0.0562,0,0,0,0,
98É100,98,100,0.099,927.3,275.7,0.0562,0.0068,0.121,6.3,33.4,
100É13,100,13,0.756,927.3,275.7,0.0562,0.0519,0.9248,48.2,255,
100É101,100,101,0.169,927.3,275.7,0.0562,0.0116,0.2066,10.8,57,
101É12,101,12,0.596,927.3,275.7,0.0562,0.041,0.7294,38,201.1,
101É11,101,11,0.736,927.3,275.7,0.0562,0.0506,0.9008,46.9,248.4,
97É102,97,102,0.089,927.3,275.7,0.0562,0.0061,0.1089,5.7,30,
102É103,102,103,0.983,927.3,275.7,0.0562,0.0676,1.203,62.6,331.7,
103É41,103,41,1.477,927.3,275.7,0.0562,0.1015,1.8073,94.1,498.4,
103É43,103,43,0.803,927.3,275.7,0.0562,0.0552,0.9828,51.2,271,
102É42,102,42,0.513,927.3,275.7,0.0562,0.0352,0.6274,32.7,173,
92É104,92,104,2.141,927.3,275.7,0.013,0.0387,2.983,35.8,822.6,
104É30,104,30,0,927.3,275.7,0.013,0,0,0,0,
104É105,104,105,0.151,927.3,275.7,0.013,0.0027,0.211,2.5,58.2,
105É29,105,29,0.099,927.3,275.7,0.013,0.0018,0.1373,1.7,37.9,
105É106,105,106,0.102,927.3,275.7,0.013,0.0018,0.1422,1.7,39.2,
106É31,106,31,0.213,927.3,275.7,0.013,0.0038,0.297,3.6,81.9,
106É107,106,107,0.125,927.3,275.7,0.013,0.0023,0.1743,2.1,48.1,
107É108,107,108,0.077,927.3,275.7,0.013,0.0014,0.1077,1.3,29.7,
108É33,108,33,0.271,927.3,275.7,0.013,0.0049,0.3782,4.5,104.3,
108É32,108,32,0.154,927.3,275.7,0.013,0.0028,0.214,2.6,59,
107É109,107,109,0.247,927.3,275.7,0.013,0.0045,0.3437,4.1,94.8,
109É34,109,34,0.073,927.3,275.7,0.013,0.0013,0.1024,1.2,28.2,
109É35,109,35,0.068,927.3,275.7,0.013,0.0012,0.0944,1.1,26,
92É110,92,110,0.362,927.3,275.7,0.058,0.0256,0.4411,23.7,121.6,
110É40,110,40,1.321,927.3,275.7,0.058,0.0932,1.6072,86.4,443.2,
110É111,110,111,0.598,927.3,275.7,0.058,0.0422,0.7277,39.1,200.7,
111É4,111,4,,0.426,927.3,275.7,0.058,0.0301,0.5181,27.9,142.9
111É112,111,112,0.261,927.3,275.7,0.058,0.0184,0.3174,17.1,87.5,
112É2,112,2,,0.517,927.3,275.7,0.058,0.0365,0.6291,33.8,173.5
112É113,112,113,0.077,927.3,275.7,0.058,0.0054,0.0933,5,25.7,
113É114,113,114,0.205,927.3,275.7,0.058,0.0145,0.2492,13.4,68.7,
114É115,114,115,0.067,927.3,275.7,0.058,0.0047,0.0813,4.4,22.4,
115É26,115,26,0.924,927.3,275.7,0.058,0.0652,1.1241,60.5,310,
115É116,115,116,0.07,927.3,275.7,0.058,0.0049,0.0849,4.6,23.4,
116É117,116,117,0.077,927.3,275.7,0.058,0.0055,0.0943,5.1,26,
117É118,117,118,0.324,927.3,275.7,0.058,0.0228,0.3938,21.2,108.6,
118É119,118,119,0.144,927.3,275.7,0.058,0.0102,0.1753,9.4,48.3,
119É6,119,6,,0.477,927.3,275.7,0.058,0.0337,0.5802,31.2,160
119É8,119,8,,0.858,927.3,275.7,0.058,0.0606,1.0442,56.2,287.9
118É120,118,120,0.382,927.3,275.7,0.058,0.0269,0.4644,25,128.1,
120É7,120,7,,0.223,927.3,275.7,0.058,0.0158,0.2715,14.6,74.9
120É5,120,5,,0.425,927.3,275.7,0.058,0.03,0.5176,27.8,142.7
117É121,117,121,0.101,927.3,275.7,0.058,0.0071,0.1228,6.6,33.9,
121É10,121,10,0.635,927.3,275.7,0.058,0.0448,0.7732,41.6,213.2,
121É16,121,16,0.589,927.3,275.7,0.058,0.0416,0.7169,38.6,197.7,
116É122,116,122,0.075,927.3,275.7,0.058,0.0053,0.0917,4.9,25.3,
122É123,122,123,0.075,927.3,275.7,0.058,0.0053,0.0913,4.9,25.2,
123É23,123,23,0.768,927.3,275.7,0.058,0.0542,0.935,50.3,257.8,
123É124,123,124,0.229,927.3,275.7,0.058,0.0161,0.2784,15,76.8,
124É27,124,27,0.652,927.3,275.7,0.058,0.046,0.7935,42.7,218.8,
124É14,124,14,1.411,927.3,275.7,0.058,0.0996,1.7172,92.4,473.5,
122É125,122,125,0.041,927.3,275.7,0.058,0.0029,0.0498,2.7,13.7,
125É21,125,21,0.522,927.3,275.7,0.058,0.0369,0.6354,34.2,175.2,
125É18,125,18,0.335,927.3,275.7,0.058,0.0237,0.4079,21.9,112.5,
114É126,114,126,0.078,927.3,275.7,0.058,0.0055,0.095,5.1,26.2,
126É127,126,127,0.151,927.3,275.7,0.058,0.0106,0.1832,9.9,50.5,
127É128,127,128,0.222,927.3,275.7,0.058,0.0157,0.2704,14.5,74.6,
128É129,128,129,0.214,927.3,275.7,0.058,0.0151,0.2609,14,71.9,
129É22,129,22,0.303,927.3,275.7,0.058,0.0214,0.3688,19.8,101.7,
129É24,129,24,0.524,927.3,275.7,0.058,0.037,0.6376,34.3,175.8,
128É17,128,17,0.517,927.3,275.7,0.058,0.0365,0.6285,33.8,173.3,
127É130,127,130,0.08,927.3,275.7,0.058,0.0056,0.0972,5.2,26.8,
130É131,130,131,0.109,927.3,275.7,0.058,0.0077,0.133,7.2,36.7,
131É15,131,15,0.813,927.3,275.7,0.058,0.0574,0.9893,53.2,272.8,
131É132,131,132,0.137,927.3,275.7,0.058,0.0097,0.1665,9,45.9,
132É28,132,28,0.771,927.3,275.7,0.058,0.0544,0.9377,50.4,258.6,
132É25,132,25,0.917,927.3,275.7,0.058,0.0647,1.116,60,307.7,
130É9,130,9,,0.857,927.3,275.7,0.058,0.0605,1.0423,56.1,287.4
126É133,126,133,0.223,927.3,275.7,0.058,0.0158,0.2718,14.6,74.9,
133É134,133,134,0.157,927.3,275.7,0.058,0.011,0.1905,10.2,52.5,
134É52,134,52,1.022,927.3,275.7,0.058,0.0721,1.2431,66.9,342.8,
134É135,134,135,0.283,927.3,275.7,0.058,0.02,0.3448,18.5,95.1,
135É53,135,53,1.021,927.3,275.7,0.058,0.0721,1.2426,66.8,342.6,
135É136,135,136,0.326,927.3,275.7,0.058,0.023,0.3967,21.3,109.4,
136É137,136,137,0.238,927.3,275.7,0.058,0.0168,0.2902,15.6,80,
137É138,137,138,0.216,927.3,275.7,0.058,0.0152,0.2626,14.1,72.4,
138É48,138,48,0.302,927.3,275.7,0.058,0.0213,0.3672,19.7,101.2,
138É50,138,50,0.21,927.3,275.7,0.058,0.0148,0.2553,13.7,70.4,
137É46,137,46,0.378,927.3,275.7,0.058,0.0267,0.4595,24.7,126.7,
136É45,136,45,0.256,927.3,275.7,0.058,0.0181,0.3117,16.8,86,
133É139,133,139,0.136,927.3,275.7,0.058,0.0096,0.166,8.9,45.8,
139É140,139,140,0.43,927.3,275.7,0.058,0.0304,0.5236,28.2,144.4,
