"ArrayGene","QueryGene","Sample_Plate","Row1536","Col1536","Dox","YPD","CompScore"
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,4,11,42398,54593.5,0.776612600401147
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,6,41,47632.5,57008,0.83554062587707
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,10,7,43994,52270.5,0.841660209869812
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,10,35,49857,57969,0.860063137194018
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,14,35,52843.5,61392,0.860755473025801
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,18,27,46193,56509,0.817445008759667
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,20,31,47058,57311,0.82109891643838
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,20,39,49239.5,60076,0.81962014781277
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,22,19,47161.5,58334.5,0.808466687809101
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,24,39,48683.5,57425.5,0.847767977640595
"C.glabrata (CAGL0H03553g)","C.glabrata (CAGL0H03553g)",5,30,25,45275,58321.5,0.776300335210857
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,4,11,36673.5,46274.5,0.79252071875439
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,6,41,42813.5,47740.5,0.896796221237733
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,10,7,40338.5,45091,0.894602027012042
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,10,35,44204.5,50159,0.881287505731773
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,14,35,47165.5,52290.5,0.901989845191765
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,18,27,43448.5,50153.5,0.866310426989143
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,20,31,44969,51899,0.866471415634213
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,20,39,44901,53242,0.843337966267233
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,22,19,44272,49453,0.895233858411017
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,24,39,45336.5,52198.5,0.868540283724628
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1)",11,30,25,42307,50644.5,0.83537205422109
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,4,11,38236,44574.5,0.857799863150456
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,6,41,42694.5,50242.5,0.849768622182415
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,10,7,40095,43637.5,0.918819822400458
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,10,35,45035,52033.5,0.865500110505732
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,14,35,44931,51651,0.869896032990649
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,18,27,45285,46748.5,0.968694182701049
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,20,31,45160.5,49683,0.908972888110621
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,20,39,44941.5,50210.5,0.89506178986467
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,22,19,45308.5,47854.5,0.9467970619273
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,24,39,45589.5,49229,0.926069999390603
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1A1L)",12,30,25,41301.5,49938,0.827055548880612
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,3,12,36971,44776.5,0.825678648398155
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,5,42,43316.5,46353.5,0.934481754344332
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,9,8,40516.5,43211,0.937643192705561
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,9,36,48771,48144.5,1.01301290905503
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,13,36,43950.5,50158,0.87624107819291
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,17,28,45716.5,47949,0.953440113453878
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,19,32,45205.5,49481,0.913593096340009
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,19,40,43212,49665,0.870069465418303
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,21,20,42966,47778.5,0.899274778404513
"C.glabrata (CAGL0H03553g)","H. sapiens (CSNK1D)",12,23,40,43599.5,47615,0.915667331723196
