PPI_partner.Gene,PPI_partner.ORF,Ortholog.Species,State,PPI.NA,Ortholog.GeneA,Ortholog.GeneB,Ortholog.GeneAnc,PPI.Ortholog.GeneA,PPI.Ortholog.GeneB,PPI.Ortholog.Anc,PPI.A_div_B,PPI.Scer,PPI.Vehicle
YLR027C,AAT2,T.delbrueckii,Anc,No,,,TDEL0E05230,,,51992.75,1.0,10368.75,4043.0
YLR027C,AAT2,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,29039.75,15932.0,,1.8227309816721065,10368.75,4043.0
YLR027C,AAT2,S.bayanusvar.uvarum,A,No,Suva_16.102,,,25431.25,,,25431.25,10368.75,4043.0
YLR027C,AAT2,S.mikatae,A,No,Smik_6.409,,,10516.75,,,10516.75,10368.75,4043.0
YLR027C,AAT2,S.kudriavzevii,A,No,Skud_16.75,,,10875.5,,,10875.5,10368.75,4043.0
YLR027C,AAT2,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,73575.5,31606.75,,2.327841362999992,10368.75,4043.0
YLR027C,AAT2,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5612.0,58258.0,,0.09633011775206839,10368.75,4043.0
YLR027C,AAT2,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,4043.0,4043.0,4043.0,1.0,10368.75,4043.0
YLR027C,AAT2,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3752.0,49981.0,,0.07506852603989517,10368.75,4043.0
YLR027C,AAT2,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,4660.75,23907.0,,0.19495336094031038,10368.75,4043.0
YLR027C,AAT2,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,9510.5,54301.25,,0.17514329780621993,10368.75,4043.0
YLR027C,AAT2,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,30018.5,1.0,10368.75,4043.0
YLR027C,AAT2,C.glabrata,B,No,,CAGL0H03553g,,,5739.0,,0.00017424638438752395,10368.75,4043.0
YLR027C,AAT2,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,51421.0,37833.5,,1.3591393870511583,10368.75,4043.0
YLR027C,AAT2,S.cerevisiae,A,No,YPL204W,,,10369.75,,,10369.75,10368.75,4043.0
YLR028C,ADE16,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,16531.75,12060.5,,1.3707350441523982,4050.0,3466.5
YLR028C,ADE16,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,15531.5,6563.0,,2.3665244552795976,4050.0,3466.5
YLR028C,ADE16,T.delbrueckii,Anc,No,,,TDEL0E05230,,,14617.75,1.0,4050.0,3466.5
YLR028C,ADE16,N.dairenensis,AB,A,,NDAI0I01070,,,11905.0,,8.399832003359933e-05,4050.0,3466.5
YLR028C,ADE16,S.mikatae,A,A,Smik_6.409,,,5487.0,,,5487.0,4050.0,3466.5
YLR028C,ADE16,S.kudriavzevii,A,A,Skud_16.75,,,3684.75,,,3684.75,4050.0,3466.5
YLR028C,ADE16,S.bayanusvar.uvarum,A,A,Suva_16.102,,,6545.0,,,6545.0,4050.0,3466.5
YLR028C,ADE16,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3406.5,14163.25,,0.24051683052971598,4050.0,3466.5
YLR028C,ADE16,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,6175.75,587.0,,10.520868824531517,4050.0,3466.5
YLR028C,ADE16,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4200.0,21370.75,,0.19653030427102464,4050.0,3466.5
YLR028C,ADE16,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,767.5,5844.0,,0.131331279945243,4050.0,3466.5
YLR028C,ADE16,C.glabrata,B,No,,CAGL0H03553g,,,262.25,,0.0038131553860819827,4050.0,3466.5
YLR028C,ADE16,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,3466.5,3466.5,3466.5,1.0,4050.0,3466.5
YLR028C,ADE16,S.cerevisiae,A,No,YPL204W,,,4051.0,,,4051.0,4050.0,3466.5
YLR028C,ADE16,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,4844.5,1.0,4050.0,3466.5
YMR120C,ADE17,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,55046.0,119830.0,,0.45936743720270384,87078.0,5782.0
YMR120C,ADE17,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,133318.0,109248.5,,1.220318814445965,87078.0,5782.0
YMR120C,ADE17,S.kudriavzevii,A,No,Skud_16.75,,,85091.5,,,85091.5,87078.0,5782.0
YMR120C,ADE17,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,101764.5,63638.75,,1.5990964624540867,87078.0,5782.0
YMR120C,ADE17,S.cerevisiae,A,No,YPL204W,,,87079.0,,,87079.0,87078.0,5782.0
YMR120C,ADE17,T.delbrueckii,Anc,No,,,TDEL0E05230,,,123091.25,1.0,87078.0,5782.0
YMR120C,ADE17,N.castellii,AB,A,,NCAS0D03820,,,97489.0,,1.0257567520438203e-05,87078.0,5782.0
YMR120C,ADE17,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,25395.75,119524.5,,0.2124731749557622,87078.0,5782.0
YMR120C,ADE17,C.glabrata,B,No,,CAGL0H03553g,,,63524.75,,1.5741895875229734e-05,87078.0,5782.0
YMR120C,ADE17,S.bayanusvar.uvarum,A,No,Suva_16.102,,,111914.5,,,111914.5,87078.0,5782.0
YMR120C,ADE17,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,121967.25,110382.5,,1.104950965959278,87078.0,5782.0
YMR120C,ADE17,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,84828.5,1.0,87078.0,5782.0
YMR120C,ADE17,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,9659.5,133692.0,,0.07225189240941866,87078.0,5782.0
YMR120C,ADE17,S.mikatae,A,No,Smik_6.409,,,84482.25,,,84482.25,87078.0,5782.0
YMR120C,ADE17,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,5782.0,5782.0,5782.0,1.0,87078.0,5782.0
YMR300C,ADE4,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5339.5,43525.5,,0.12267521338066191,5494.0,NA
YMR300C,ADE4,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,33787.75,12589.75,,2.68375067018805,5494.0,NA
YMR300C,ADE4,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,12288.75,7548.25,,1.6280263637266916,5494.0,NA
YMR300C,ADE4,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,6641.25,1.0,5494.0,NA
YMR300C,ADE4,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,1.0,35570.5,,2.8113183677485558e-05,5494.0,NA
YMR300C,ADE4,T.delbrueckii,Anc,No,,,TDEL0E05230,,,39564.5,1.0,5494.0,NA
YMR300C,ADE4,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,54318.75,17897.25,,3.035033315174119,5494.0,NA
YMR300C,ADE4,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,265.5,11851.5,,0.022402227566130868,5494.0,NA
YMR300C,ADE4,C.glabrata,B,No,,CAGL0H03553g,,,1.0,,1.0,5494.0,NA
YMR300C,ADE4,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,7525.5,33054.5,,0.22766945499099972,5494.0,NA
YMR300C,ADE4,S.kudriavzevii,A,No,Skud_16.75,,,7355.0,,,7355.0,5494.0,NA
YMR300C,ADE4,S.cerevisiae,A,No,YPL204W,,,5495.0,,,5495.0,5494.0,NA
YMR300C,ADE4,S.mikatae,A,No,Smik_6.409,,,8668.0,,,8668.0,5494.0,NA
YMR300C,ADE4,S.bayanusvar.uvarum,A,No,Suva_16.102,,,12798.0,,,12798.0,5494.0,NA
YGR061C,ADE6,C.glabrata,B,No,,CAGL0H03553g,,,5043.0,,0.000198294665873488,13216.5,4892.25
YGR061C,ADE6,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3814.25,22708.25,,0.16796758887188576,13216.5,4892.25
YGR061C,ADE6,S.cerevisiae,A,No,YPL204W,,,13217.5,,,13217.5,13216.5,4892.25
YGR061C,ADE6,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,39575.25,20111.0,,1.9678409825468648,13216.5,4892.25
YGR061C,ADE6,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2266.5,10594.5,,0.21393175704374912,13216.5,4892.25
YGR061C,ADE6,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5625.5,33715.25,,0.1668532785608886,13216.5,4892.25
YGR061C,ADE6,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,9864.25,1.0,13216.5,4892.25
YGR061C,ADE6,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,4892.25,4892.25,4892.25,1.0,13216.5,4892.25
YGR061C,ADE6,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,15819.5,7484.75,,2.113564247302849,13216.5,4892.25
YGR061C,ADE6,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,5852.25,30851.5,,0.1896909388522438,13216.5,4892.25
YGR061C,ADE6,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,33247.5,23851.75,,1.3939228777762638,13216.5,4892.25
YGR061C,ADE6,S.mikatae,A,No,Smik_6.409,,,10265.75,,,10265.75,13216.5,4892.25
YGR061C,ADE6,S.kudriavzevii,A,No,Skud_16.75,,,8954.5,,,8954.5,13216.5,4892.25
YGR061C,ADE6,T.delbrueckii,Anc,No,,,TDEL0E05230,,,30314.0,1.0,13216.5,4892.25
YGR061C,ADE6,S.bayanusvar.uvarum,A,No,Suva_16.102,,,20242.25,,,20242.25,13216.5,4892.25
YDR226W,ADK1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,3151.0,23264.5,,0.13544241225902126,3903.5,2208.5
YDR226W,ADK1,S.mikatae,A,No,Smik_6.409,,,5479.25,,,5479.25,3903.5,2208.5
YDR226W,ADK1,T.delbrueckii,Anc,No,,,TDEL0E05230,,,24516.0,1.0,3903.5,2208.5
YDR226W,ADK1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,3765.5,7196.25,,0.523258641653639,3903.5,2208.5
YDR226W,ADK1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,31275.25,11289.0,,2.770418106121003,3903.5,2208.5
YDR226W,ADK1,S.bayanusvar.uvarum,A,No,Suva_16.102,,,10797.5,,,10797.5,3903.5,2208.5
YDR226W,ADK1,S.kudriavzevii,A,No,Skud_16.75,,,4972.0,,,4972.0,3903.5,2208.5
YDR226W,ADK1,S.cerevisiae,A,No,YPL204W,,,3904.5,,,3904.5,3903.5,2208.5
YDR226W,ADK1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,19208.5,6478.25,,2.9650754447574577,3903.5,2208.5
YDR226W,ADK1,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,3444.0,1.0,3903.5,2208.5
YDR226W,ADK1,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,2208.5,2208.5,2208.5,1.0,3903.5,2208.5
YDR226W,ADK1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,8791.75,2409.5,,3.648786055198174,3903.5,2208.5
YDR226W,ADK1,N.dairenensis,AB,A,,NDAI0I01070,,,17793.0,,5.620187714269657e-05,3903.5,2208.5
YDR226W,ADK1,T.blattae,AB,A,,TBLA0B05310,,,23490.0,,4.257130693912303e-05,3903.5,2208.5
YIR003W,AIM21,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,1741.75,1.0,5863.0,NA
YIR003W,AIM21,S.cerevisiae,A,No,YPL204W,,,5864.0,,,5864.0,5863.0,NA
YIR003W,AIM21,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,3808.5,8018.0,,0.4749937640309304,5863.0,NA
YIR003W,AIM21,C.glabrata,B,No,,CAGL0H03553g,,,577.5,,0.0017316017316017316,5863.0,NA
YIR003W,AIM21,N.castellii,AB,A,,NCAS0D03820,,,4504.0,,0.00022202486678507994,5863.0,NA
YIR003W,AIM21,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,4743.5,7690.0,,0.6168400520156047,5863.0,NA
YIR003W,AIM21,T.delbrueckii,Anc,No,,,TDEL0E05230,,,7643.5,1.0,5863.0,NA
YIR003W,AIM21,T.blattae,AB,A,,TBLA0B05310,,,10577.75,,9.453806338777151e-05,5863.0,NA
YIR003W,AIM21,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,10195.75,684.5,,14.895178962746531,5863.0,NA
YIR003W,AIM21,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,798.5,10894.5,,0.07329386387626784,5863.0,NA
YIR003W,AIM21,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,10144.5,24114.5,,0.42068050343154534,5863.0,NA
YIR003W,AIM21,S.bayanusvar.uvarum,A,No,Suva_16.102,,,6122.75,,,6122.75,5863.0,NA
YIR003W,AIM21,S.mikatae,A,No,Smik_6.409,,,2107.5,,,2107.5,5863.0,NA
YDR264C,AKR1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4888.5,4138.75,,1.1811537299909394,6342.75,6065.75
YDR264C,AKR1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5089.25,4651.5,,1.0941094270665377,6342.75,6065.75
YDR264C,AKR1,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3697.5,5988.75,,0.617407639323732,6342.75,6065.75
YDR264C,AKR1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,4495.75,4974.5,,0.9037591717760579,6342.75,6065.75
YDR264C,AKR1,S.cerevisiae,A,No,YPL204W,,,6343.75,,,6343.75,6342.75,6065.75
YDR264C,AKR1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,5802.0,5596.0,,1.0368120085775554,6342.75,6065.75
YDR264C,AKR1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,1751.25,2791.25,,0.6274070756829377,6342.75,6065.75
YDR264C,AKR1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,5568.25,2357.75,,2.3616795673841584,6342.75,6065.75
YDR264C,AKR1,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,4206.75,1.0,6342.75,6065.75
YDR264C,AKR1,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,6065.75,6065.75,6065.75,1.0,6342.75,6065.75
YDR264C,AKR1,T.delbrueckii,Anc,No,,,TDEL0E05230,,,72569.25,1.0,6342.75,6065.75
YDR264C,AKR1,C.glabrata,B,No,,CAGL0H03553g,,,4838.5,,0.0002066756226103131,6342.75,6065.75
YDR264C,AKR1,S.kudriavzevii,A,No,Skud_16.75,,,4737.5,,,4737.5,6342.75,6065.75
YDR264C,AKR1,S.mikatae,A,No,Smik_6.409,,,6057.0,,,6057.0,6342.75,6065.75
YDR264C,AKR1,S.bayanusvar.uvarum,A,No,Suva_16.102,,,4599.25,,,4599.25,6342.75,6065.75
YML086C,ALO1,S.cerevisiae,A,No,YPL204W,,,6835.5,,,6835.5,6834.5,3574.0
YML086C,ALO1,S.mikatae,A,No,Smik_6.409,,,4378.0,,,4378.0,6834.5,3574.0
YML086C,ALO1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,7196.75,9292.5,,0.774468657519505,6834.5,3574.0
YML086C,ALO1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,836.5,10300.0,,0.08121359223300971,6834.5,3574.0
YML086C,ALO1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,9089.25,4851.5,,1.8734927342059158,6834.5,3574.0
YML086C,ALO1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,3042.75,7196.75,,0.42279501163719735,6834.5,3574.0
YML086C,ALO1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,4479.25,3465.5,,1.292526330976771,6834.5,3574.0
YML086C,ALO1,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,2147.0,1.0,6834.5,3574.0
YML086C,ALO1,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,3574.0,3574.0,3574.0,1.0,6834.5,3574.0
YML086C,ALO1,S.bayanusvar.uvarum,A,No,Suva_16.102,,,2539.25,,,2539.25,6834.5,3574.0
YML086C,ALO1,N.dairenensis,AB,A,,NDAI0I01070,,,8529.5,,0.0001172401664810364,6834.5,3574.0
YML086C,ALO1,T.delbrueckii,Anc,No,,,TDEL0E05230,,,7373.75,1.0,6834.5,3574.0
YML086C,ALO1,S.kudriavzevii,A,No,Skud_16.75,,,2072.5,,,2072.5,6834.5,3574.0
YML086C,ALO1,N.castellii,AB,B,NCAS0A01090,,,974.0,,,974.0,6834.5,3574.0
YER036C,ARB1,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,4090.75,18690.0,,0.2188737292669877,6346.25,4291.5
YER036C,ARB1,S.bayanusvar.uvarum,A,No,Suva_16.102,,,6633.5,,,6633.5,6346.25,4291.5
YER036C,ARB1,T.delbrueckii,Anc,No,,,TDEL0E05230,,,30091.0,1.0,6346.25,4291.5
YER036C,ARB1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5199.75,26856.5,,0.19361234710405303,6346.25,4291.5
YER036C,ARB1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,29270.75,22327.25,,1.310987694409298,6346.25,4291.5
