Miniarray.Gene,Protein.Removed
YEL063C,1
YER026C,1
YHR146W,1
YKR039W,1
YDR508C,1
YML123C,1
YKL212W,1
YEL031W,1
YHR111W,1
YPR028W,1
YNL052W,1
YCR034W,1
YMR200W,1
YOR254C,1
YGL225W,1
YGR088W,1
YNL117W,1
YHR030C,1
YFL014W,1
YOR298C-A,1
YOR332W,1
YOR046C,1
YKR076W,1
YDR345C,1
YDR342C,1
YEL017C-A,1
YDR276C,1
YDR524C-B,1
YBR086C,1
YER053C-A,1
YLR050C,1
YCL025C,1
YJL002C,1
YDR233C,1
YLL023C,1
YJL196C,1
YGR175C,1
YML048W,1
YJL097W,1
YNL156C,1
YDR307W,1
YGL167C,1
YJR088C,1
YPL274W,1
YEL001C,1
YKL207W,1
YGR038W,1
YGR260W,1
YKL065C,1
YLR064W,1
YAL007C,1
YDL122W,1
YDL018C,1
YIL090W,1
YDR476C,1
YDR513W,1
YJL091C,1
YDL128W,1
YHR181W,1
YML125C,1
YGL202W,1
YPR035W,1
YGR094W,1
YBR011C,1
YGR155W,1
YER070W,1
YJL026W,1
YLR438W,1
YHR179W,1
YGL125W,1
YNL014W,1
YJL187C,1
YGL180W,1
YKL210W,1
YER043C,1
YIL078W,1
YOR128C,1
YCR042C,1
YHR080C,1
YOR211C,1
YHR078W,1
YJL124C,1
YNL026W,1
YDR500C,1
YLR075W,1
YJL191W,1
YGL147C,1
YER050C,1
YOR150W,1
YML073C,1
YNL069C,1
YDL075W,1
YBR251W,1
YLR367W,1
YBR146W,1
YPL198W,1
YGL123W,1
YJL189W,1
YIL052C,1
YDR041W,1
YLR439W,1
YPL183W-A,1
YDL081C,1
YDR337W,1
YOR369C,1
YNL284C,1
YMR188C,1
YGR034W,1
YKL180W,1
YPR102C,1
YGL103W,1
YPL143W,1
YGR214W,1
YGL031C,1
YKL006W,1
YMR142C,1
YLR029C,1
YKR057W,1
YMR158W,1
YLR340W,1
YBR189W,1
YJL136C,1
YCR046C,1
YDL082W,1
YOR096W,1
YNL178W,1
YKL156W,1
YOR063W,1
YNR036C,1
YBR031W,1
YCR003W,1
YJR123W,1
YLR448W,1
YMR194W,1
YKL170W,1
YGL068W,1
YML024W,1
YDR116C,1
YGR148C,1
YLR264W,1
YGL030W,1
YKR060W,1
YGL076C,1
YFL034C-A,1
YNL081C,1
YOL127W,1
YOL039W,1
YHR147C,1
YER131W,1
YER056C-A,1
YOR167C,1
YDL130W,1
YKL003C,1
YGR220C,1
YLR185W,1
YLR325C,1
YDL061C,1
YLR048W,1
YDR382W,1
YJL096W,1
YDR012W,1
YNL005C,1
YNR037C,1
YBL092W,1
YNL302C,1
YGR085C,1
YDR237W,1
YIL133C,1
YFR032C-A,1
YNL067W,1
YHL015W,1
YDR405W,1
YJL177W,1
YLR441C,1
YPL013C,1
YPL173W,1
YBR191W,1
YDR115W,1
YML063W,1
YHR021C,1
YLR388W,1
YHR010W,1
YKR094C,1
YDR471W,1
YOR234C,1
YDR064W,1
YCR031C,1
YHL004W,1
YNL002C,1
YNL306W,1
YNL122C,1
YMR121C,1
YHL001W,1
Q0140,1
YEL050C,1
YHR052W,1
YNL185C,1
YNL096C,1
YPL081W,1
YPL131W,1
YBL038W,1
YCR071C,1
YLR167W,1
YNL177C,1
YPR166C,1
YOL121C,1
YLR406C,1
YLR061W,1
