row,column,spot_well,Plate_ID,Selection,auc
1,7,A7,011,MTX_2,89242.5
1,9,A9,011,MTX_2,94136.0
1,25,A25,011,MTX_2,88689.0
1,29,A29,011,MTX_2,85920.0
1,12,A12,011,MTX_2,89690.0
1,15,A15,011,MTX_2,93944.0
1,28,A28,011,MTX_2,84127.0
1,31,A31,011,MTX_2,83143.0
1,36,A36,011,MTX_2,80690.5
1,38,A38,011,MTX_2,83150.5
1,42,A42,011,MTX_2,81198.5
1,43,A43,011,MTX_2,81890.0
1,44,A44,011,MTX_2,82396.0
1,10,A10,011,MTX_2,89179.0
1,13,A13,011,MTX_2,88148.0
1,18,A18,011,MTX_2,88416.0
1,19,A19,011,MTX_2,87967.0
1,26,A26,011,MTX_2,83771.5
1,27,A27,011,MTX_2,83689.5
1,32,A32,011,MTX_2,82499.5
1,34,A34,011,MTX_2,80643.0
1,39,A39,011,MTX_2,84410.5
1,40,A40,011,MTX_2,80869.0
1,6,A6,011,MTX_2,81883.5
1,16,A16,011,MTX_2,84846.0
1,21,A21,011,MTX_2,86341.0
1,22,A22,011,MTX_2,84084.0
1,11,A11,011,MTX_2,84224.0
1,14,A14,011,MTX_2,81982.5
1,17,A17,011,MTX_2,87150.0
1,20,A20,011,MTX_2,81793.5
1,30,A30,011,MTX_2,79289.5
1,33,A33,011,MTX_2,80935.5
1,3,A3,011,MTX_2,95085.5
1,24,A24,011,MTX_2,82516.5
1,35,A35,011,MTX_2,81738.5
1,37,A37,011,MTX_2,83914.5
1,8,A8,011,MTX_2,80184.5
1,23,A23,011,MTX_2,85175.5
1,2,A2,011,MTX_2,90565.0
1,4,A4,011,MTX_2,77782.0
1,5,A5,011,MTX_2,77762.5
1,41,A41,011,MTX_2,77651.5
1,46,A46,011,MTX_2,81923.5
1,45,A45,011,MTX_2,74024.5
1,47,A47,011,MTX_2,92187.0
2,7,B7,011,MTX_2,43919.5
2,8,B8,011,MTX_2,43832.0
2,10,B10,011,MTX_2,44416.5
2,14,B14,011,MTX_2,46875.5
2,20,B20,011,MTX_2,46313.5
2,9,B9,011,MTX_2,44817.5
2,12,B12,011,MTX_2,45135.0
2,13,B13,011,MTX_2,44584.0
2,26,B26,011,MTX_2,48041.0
2,1,B1,011,MTX_2,63620.0
2,11,B11,011,MTX_2,45044.5
2,15,B15,011,MTX_2,42703.5
2,18,B18,011,MTX_2,43552.0
2,23,B23,011,MTX_2,48857.5
2,17,B17,011,MTX_2,46482.0
2,25,B25,011,MTX_2,48254.0
2,29,B29,011,MTX_2,49083.5
2,30,B30,011,MTX_2,48296.0
2,32,B32,011,MTX_2,48984.0
2,39,B39,011,MTX_2,45114.0
2,42,B42,011,MTX_2,46814.5
2,4,B4,011,MTX_2,38296.0
2,6,B6,011,MTX_2,38822.0
