,PPI_partner.Gene,PPI_partner.ORF,Ortholog.Species,State,PPI.NA,Ortholog.GeneA,Ortholog.GeneB,Ortholog.GeneAnc,PPI.Ortholog.GeneA,PPI.Ortholog.GeneB,PPI.Ortholog.Anc,PPI.A_div_B,PPI.Scer,PPI.Vehicle,MaxPPI,AvePPI,RelPPI,RelPPIMax
1,YLR027C,AAT2,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,29039.75,15932,NA,1.822730982,10368.75,4043,29039.75,22485.875,2.16861965,2.800699216
538,YAL005C,SSA1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,148052.25,111664.25,NA,1.325869739,130085,18399.25,148052.25,129858.25,0.998256909,1.138119307
3,YLR027C,AAT2,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5612,58258,NA,0.096330118,10368.75,4043,58258,31935,3.079927667,5.618613623
4,YLR027C,AAT2,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3752,49981,NA,0.075068526,10368.75,4043,49981,26866.5,2.591103074,4.820349608
5,YLR027C,AAT2,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,4660.75,23907,NA,0.194953361,10368.75,4043,23907,14283.875,1.377588909,2.305678119
6,YLR027C,AAT2,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,9510.5,54301.25,NA,0.175143298,10368.75,4043,54301.25,31905.875,3.077118746,5.237010247
7,YLR027C,AAT2,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,51421,37833.5,NA,1.359139387,10368.75,4043,51421,44627.25,4.304014467,4.959228451
546,YDL229W,SSB1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,139939,117379.75,NA,1.192190305,98323,3178,139939,128659.375,1.308537931,1.423258037
9,YLR028C,ADE16,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,15531.5,6563,NA,2.366524455,4050,3466.5,15531.5,11047.25,2.727716049,3.834938272
10,YLR028C,ADE16,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3406.5,14163.25,NA,0.240516831,4050,3466.5,14163.25,8784.875,2.169104938,3.497098765
11,YLR028C,ADE16,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,6175.75,587,NA,10.52086882,4050,3466.5,6175.75,3381.375,0.834907407,1.524876543
12,YLR028C,ADE16,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4200,21370.75,NA,0.196530304,4050,3466.5,21370.75,12785.375,3.156882716,5.276728395
