"","Description","T.delbrueckii.Anc","Z.rouxii.Anc","S.cerevisiae.A","S.bayanusvar.uvarum.A","S.mikatae.A","S.kudriavzevii.A","C.glabrata.B","N.castellii.A","N.castellii.B","V.polyspora.A","V.polyspora.B","K.africana.A","K.africana.B","T.blattae.A","T.blattae.B","N.dairenensis.A","N.dairenensis.B","K.naganishii.A","K.naganishii.B","T.phaffii.A","T.phaffii.B"
"1","COPI-coated vesicle",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0474213247271466,1,1,1,1
"2","COPI-coated vesicle membrane",0.0456037099036481,1,1,1,1,1,1,1,1,1,1,1,0.0295399200297473,1,0.0479220627475619,1,0.0196877352239579,1,0.0468458103479567,0.0457959277158968,1
"3","Golgi apparatus",1,1,1,1,1,1,1,1,0.0385606028983012,1,1,1,1,1,1,1,0.0196877352239579,1,1,1,1
"4","Golgi membrane",0.00977204815645254,1,1,1,1,1,1,1,0.0205112747659152,1,1,1,1,1,1,1,0.00300929096356874,1,1,1,1
"5","Golgi-associated vesicle",1,1,1,1,1,1,1,1,1,1,1,1,0.0304290356238755,1,1,1,0.0196877352239579,1,1,0.047842583791289,1
"6","Golgi-associated vesicle membrane",0.0137655442297894,1,1,1,1,1,1,1,1,1,1,0.0227689026034438,0.00615936027023684,1,0.0119339003924822,1,0.00414322782279925,1,0.0115071305038674,0.00963593537251503,1
"7","P-body",0.0329396525978098,1,0.0131361377216703,1,0.00177284622966588,1,1,1,1,1,1,1,1,1,0.0279285841269025,1,1,1,1,1,1
"8","U4/U6 x U5 tri-snRNP complex",1,1,1,1,0.0467152881685388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","U6 snRNP",0.0425311171181588,1,1,1,0.0157847995819808,1,1,1,1,1,1,1,1,1,0.0437585214727778,1,1,1,0.0423900705381618,1,1
"10","actin cortical patch",1.4911928462642e-12,2.37629140163107e-07,4.21132468719365e-06,7.21613080715133e-11,0.000398637610675009,1.90497041340723e-06,0.000324084993928502,1,7.45497463513428e-06,4.73429871051326e-08,1,1.28671206725268e-11,2.70667003383499e-06,1,3.81483827792908e-12,1,1.22530716896747e-10,1.53890350069069e-08,2.99415363053458e-12,1.46209956969159e-09,1
"11","actin cytoskeleton",1.46529678508214e-12,1.61728657360918e-07,1.52240482922449e-05,1.33000424063115e-11,0.000876478259469576,8.09102383186259e-07,0.000554626014297582,1,2.4036109471256e-05,3.92563599365831e-09,1,1.28671206725268e-11,5.30780490365106e-08,1,2.61063363384946e-12,1,1.85374416534241e-10,8.45317715229057e-08,1.98149481007165e-12,7.05312721272375e-10,1
