,ID,Description,geneID,T.delbrueckii.Anc,V.polyspora.A,V.polyspora.B,S.bayanusvar.uvarum.A,S.mikatae.A,S.kudriavzevii.A,K.africana.A,K.africana.B,T.blattae.A,T.blattae.B,N.dairenensis.A,N.dairenensis.B,N.castellii.A,N.castellii.B,K.naganishii.A,K.naganishii.B,Z.rouxii.Anc,C.glabrata.B,T.phaffii.A,T.phaffii.B,S.cerevisiae.A
1,GO:0000139,Golgi membrane,AKR1/COG1/COG3/COG4/COG6/KES1/RET2/SEC26,0.009772048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,GO:0000139,Golgi membrane,COG1/COG3/COG4/COG6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020511275,NA,NA,NA,NA,NA,NA,NA
3,GO:0000139,Golgi membrane,COG1/COG3/COG4/COG6/KES1/RET2/SEC26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003009291,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,GO:0000144,cellular bud neck septin ring,CDC11/SHS1/SYP1,NA,NA,NA,NA,NA,NA,0.011672461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,GO:0000399,cellular bud neck septin structure,CDC11/NAP1/SHS1/SYP1,NA,NA,NA,NA,NA,NA,0.004539133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,GO:0000399,cellular bud neck septin structure,NAP1/SHS1/SYP1,0.023273748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,GO:0000932,P-body,DCP2/LSM3/LSM6/SSD1,0.032939653,NA,NA,NA,0.001772846,NA,NA,NA,NA,0.027928584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,GO:0000932,P-body,DCP2/LSM3/SSD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013136138
9,GO:0005688,U6 snRNP,LSM3/LSM6,0.042531117,NA,NA,NA,0.0157848,NA,NA,NA,NA,0.043758521,NA,NA,NA,NA,NA,0.042390071,NA,NA,NA,NA,NA
10,GO:0005794,Golgi apparatus,CHC1/COG1/COG3/COG4/COG6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038560603,NA,NA,NA,NA,NA,NA,NA
