"","ID","Description","GeneRatio","BgRatio","pvalue","T.delbrueckii.Anc","qvalue","geneID","Count"
"GO:0061645","GO:0061645","endocytic patch","15/78","58/5283",1.5296097542104e-15,2.24852633868928e-13,1.5296097542104e-13,"ARC15/ARC35/ARC40/CAP2/CHC1/END3/LAS17/MYO3/MYO5/PAN1/SAC6/SLA1/SLA2/SYP1/VRP1",15
"GO:0015629","GO:0015629","actin cytoskeleton","16/78","82/5283",1.99360106813897e-14,1.46529678508214e-12,9.96800534069484e-13,"ARC15/ARC18/ARC35/ARC40/CAP2/CHC1/END3/LAS17/MYO3/MYO5/PAN1/SAC6/SLA1/SLA2/TPM2/VRP1",16
"GO:0030479","GO:0030479","actin cortical patch","14/78","57/5283",3.23933357323795e-14,1.4911928462642e-12,1.01441690222054e-12,"ARC15/ARC35/ARC40/CAP2/CHC1/END3/LAS17/MYO3/MYO5/PAN1/SAC6/SLA1/SLA2/VRP1",14
"GO:0030864","GO:0030864","cortical actin cytoskeleton","15/78","71/5283",4.05766760888217e-14,1.4911928462642e-12,1.01441690222054e-12,"ARC15/ARC35/ARC40/CAP2/CHC1/END3/LAS17/MYO3/MYO5/PAN1/SAC6/SLA1/SLA2/TPM2/VRP1",15
"GO:0030863","GO:0030863","cortical cytoskeleton","15/78","74/5283",7.82000058671283e-14,2.29908017249357e-12,1.56400011734257e-12,"ARC15/ARC35/ARC40/CAP2/CHC1/END3/LAS17/MYO3/MYO5/PAN1/SAC6/SLA1/SLA2/TPM2/VRP1",15
"GO:0005938","GO:0005938","cell cortex","20/78","180/5283",5.51863395323547e-13,1.35206531854269e-11,9.19772325539246e-12,"ARC15/ARC35/ARC40/CAP2/CHC1/END3/LAS17/MYO3/MYO5/NAP1/PAN1/RTN2/SAC6/SHS1/SLA1/SLA2/SYP1/TCB3/TPM2/VRP1",20
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","15/78","128/5283",3.06108976667507e-10,6.42828851001765e-09,4.37298538096439e-09,"CAP2/CAR1/END3/LAS17/MID2/MYO3/MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SYP1/VRP1",15
"GO:0051286","GO:0051286","cell tip","15/78","131/5283",4.27275491668553e-10,6.97883303058637e-09,4.74750546298393e-09,"CAP2/CAR1/END3/LAS17/MID2/MYO3/MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SYP1/VRP1",15
"GO:0060187","GO:0060187","cell pole","15/78","131/5283",4.27275491668553e-10,6.97883303058637e-09,4.74750546298393e-09,"CAP2/CAR1/END3/LAS17/MID2/MYO3/MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SYP1/VRP1",15
"GO:0042995","GO:0042995","cell projection","15/78","132/5283",4.76567252262211e-10,7.00553860825451e-09,4.76567252262211e-09,"CAP2/CAR1/END3/LAS17/MID2/MYO3/MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SYP1/VRP1",15
