Count_Scer,Scer_Esential,AncestralGeneOrder,PreWGD_1,PostWGD_over2,Num_over2,S.cerevisiae.pos1,S.cerevisiae.pos2
2,,1,6,11,11,YBL101C,YPR030W
2,,1,6,11,11,YDR213W,YLR228C
2,,1,6,11,11,YDR251W,YPL032C
2,,1,4,11,11,YDR303C,YHR056C
2,,1,6,11,11,YBL085W,YER114C
2,,1,6,11,11,YDR351W,YHR103W
2,,1,6,11,11,YAL056W,YOR371C
2,,1,6,11,11,YDR458C,YML034W
2,,1,6,11,11,YEL047C,YJR051W
2,,1,6,11,11,YEL041W,YJR049C
2,,1,5,11,11,YER028C,YGL209W
2,,1,6,11,11,YER054C,YIL045W
2,,1,6,11,11,YER132C,YGL197W
2,,1,6,11,11,YFL042C,YLR072W
2,,1,6,11,11,YFR013W,YOL017W
2,,1,6,11,11,YFR022W,YOR018W
2,,1,6,11,11,YGR023W,YLR332W
2,,1,6,11,11,YGR032W,YLR342W
2,,1,6,11,11,YGR041W,YLR353W
2,,1,6,11,11,YGR056W,YLR357W
2,,1,6,11,11,YGR109C,YPR120C
2,,1,6,11,11,YGR180C,YJL026W
2,,1,6,11,11,YHL003C,YKL008C
2,,1,6,11,11,YIL131C,YNL068C
2,,1,6,11,11,YIL095W,YNL020C
2,,1,4,11,11,YBR068C,YDR046C
2,,1,6,11,11,YJL105W,YKR029C
2,,1,6,11,11,YJR059W,YKL198C
2,,1,6,11,11,YJR148W,YHR208W
2,,1,5,11,11,YBR104W,YPR058W
2,,1,6,11,11,YBR118W,YPR080W
2,,1,6,11,11,YKL068W,YMR047C
2,,1,6,11,11,YKL062W,YMR037C
2,,1,6,11,11,YKR089C,YOR081C
2,,1,6,11,11,YLL012W,YLR020C
2,,1,6,11,11,YLR260W,YOR171C
2,,1,6,11,11,YLR270W,YOR173W
2,,1,6,11,11,YLR300W,YOR190W
2,,1,6,11,11,YLR442C,YML065W
2,,1,5,11,11,YMR008C,YOL011W
2,,1,6,11,11,YMR246W,YOR317W
2,,1,6,11,11,YBR216C,YGL060W
2,,1,6,11,11,YBR218C,YGL062W
2,,1,6,11,11,YNL299W,YOL115W
2,,1,6,11,11,YBR238C,YGL107C
2,,1,6,11,11,YNL106C,YOR109W
2,,1,6,11,11,YAL023C,YOR321W
2,,1,6,11,11,YOR233W,YPL141C
2,,1,6,11,11,YOR237W,YPL145C
2,,1,6,11,11,YOR256C,YPL176C
2,,1,6,11,11,YAL017W,YOL045W
2,,1,6,11,11,YCL043C,YDR518W
2,,1,6,11,11,YCL040W,YDR516C
2,,1,6,11,11,YDL224C,YNL197C
2,,1,6,11,11,YDL137W,YDL192W
